TXTID	StoreID	CarID	Plan_ID	Unique_Sale	Revenue
1	3	6	1	1	25
2	1	8	1	1	25
3	7	4	1	1	25
4	10	4	1	1	25
5	8	8	2	1	25
6	2	7	2	1	25
7	3	7	2	1	25
8	8	6	3	1	25
9	1	5	3	1	25
10	7	5	3	1	25
11	6	6	4	1	25
12	7	10	4	1	25
13	8	10	4	1	25
14	2	4	5	1	25
15	10	4	5	1	25
16	4	12	5	1	25
17	2	2	6	1	25
18	10	9	7	1	25
19	6	6	8	1	25
20	9	6	8	1	25
21	6	5	8	1	25
22	7	5	8	1	25
23	8	5	8	1	25
24	10	5	8	1	25
25	4	2	8	1	25
26	9	2	8	1	25
27	2	6	9	1	25
28	4	4	9	1	25
29	3	12	9	1	25
30	4	9	9	1	25
31	3	10	10	1	25
32	2	12	10	1	25
33	1	11	10	1	25
34	9	3	10	1	25
35	7	9	10	1	25
36	1	5	1	2	30
37	6	2	1	2	30
38	4	7	2	2	30
39	6	6	3	2	30
40	3	10	3	2	30
41	7	8	3	2	30
42	1	12	3	2	30
43	8	5	4	2	30
44	3	2	4	2	30
45	6	5	6	2	30
46	7	11	6	2	30
47	5	7	6	2	30
48	4	12	7	2	30
49	7	11	7	2	30
50	2	3	7	2	30
51	8	10	8	2	30
52	3	5	8	2	30
53	1	4	8	2	30
54	6	9	9	2	30
55	7	7	10	2	30
56	10	12	1	3	35
57	9	3	1	3	35
58	5	12	2	3	35
59	8	5	3	3	35
60	9	1	3	3	35
61	5	12	3	3	35
62	4	5	4	3	35
63	6	4	4	3	35
64	3	1	4	3	35
65	10	11	4	3	35
66	3	5	5	3	35
67	10	5	5	3	35
68	6	7	5	3	35
69	1	6	6	3	35
70	5	1	6	3	35
71	7	12	6	3	35
72	6	2	6	3	35
73	4	11	6	3	35
74	2	9	6	3	35
75	7	6	7	3	35
76	4	1	7	3	35
77	10	3	7	3	35
78	5	6	8	3	35
79	6	10	8	3	35
80	5	4	9	3	35
81	7	1	9	3	35
82	6	12	9	3	35
83	6	7	9	3	35
84	3	3	9	3	35
85	10	1	10	3	35
86	4	7	10	3	35
87	7	9	10	3	35
88	8	1	1	4	45
89	4	6	2	4	45
90	6	12	2	4	45
91	10	8	3	4	45
92	1	12	4	4	45
93	9	11	4	4	45
94	5	7	4	4	45
95	10	6	5	4	45
96	1	8	5	4	45
97	4	3	7	4	45
98	2	5	8	4	45
99	6	5	8	4	45
100	3	8	8	4	45
101	8	8	8	4	45
102	7	12	8	4	45
103	4	6	9	4	45
104	3	8	9	4	45
105	4	4	9	4	45
106	6	4	9	4	45
107	8	4	9	4	45
108	4	12	9	4	45
109	9	2	9	4	45
110	5	3	9	4	45
111	9	3	9	4	45
112	5	10	10	4	45
113	3	8	10	4	45
114	4	8	10	4	45
115	7	2	10	4	45
116	4	11	10	4	45
117	2	7	10	4	45
118	4	9	10	4	45
119	7	8	1	5	50
120	4	12	1	5	50
121	6	6	3	5	50
122	1	1	3	5	50
123	3	12	3	5	50
124	2	2	3	5	50
125	5	2	3	5	50
126	8	8	5	5	50
127	9	4	5	5	50
128	10	3	5	5	50
129	2	6	6	5	50
130	4	8	6	5	50
131	3	4	6	5	50
132	1	1	6	5	50
133	8	6	7	5	50
134	6	10	7	5	50
135	7	1	7	5	50
136	9	12	7	5	50
137	9	7	7	5	50
138	3	12	8	5	50
139	4	8	9	5	50
140	6	8	9	5	50
141	5	11	9	5	50
142	10	11	9	5	50
143	2	4	10	5	50
144	5	4	10	5	50
145	10	7	1	6	60
146	6	4	2	6	60
147	2	11	2	6	60
148	5	11	2	6	60
149	8	9	2	6	60
150	9	10	3	6	60
151	1	8	3	6	60
152	1	4	3	6	60
153	6	3	3	6	60
154	1	5	4	6	60
155	6	1	4	6	60
156	7	1	4	6	60
157	5	7	4	6	60
158	3	8	5	6	60
159	2	12	6	6	60
160	3	12	6	6	60
161	9	2	7	6	60
162	6	3	7	6	60
163	7	5	8	6	60
164	10	5	8	6	60
165	4	4	8	6	60
166	5	2	8	6	60
167	9	2	8	6	60
168	10	11	8	6	60
169	4	7	9	6	60
170	1	3	10	6	60
171	6	4	1	7	70
172	6	10	2	7	70
173	5	7	2	7	70
174	10	6	3	7	70
175	2	5	3	7	70
176	10	5	3	7	70
177	9	4	3	7	70
178	8	3	3	7	70
179	9	9	3	7	70
180	8	10	4	7	70
181	5	8	4	7	70
182	6	11	4	7	70
183	7	9	4	7	70
184	5	10	5	7	70
185	2	1	5	7	70
186	6	4	6	7	70
187	1	1	6	7	70
188	2	5	7	7	70
189	3	2	7	7	70
190	10	7	7	7	70
191	3	4	8	7	70
192	8	6	9	7	70
193	6	5	9	7	70
194	10	9	9	7	70
195	3	10	10	7	70
196	6	8	10	7	70
197	6	2	10	7	70
198	4	11	10	7	70
199	10	11	10	7	70
200	8	8	1	8	75
201	4	1	1	8	75
202	7	2	2	8	75
203	8	2	2	8	75
204	10	2	2	8	75
205	2	8	3	8	75
206	6	8	3	8	75
207	6	2	3	8	75
208	7	2	3	8	75
209	6	11	3	8	75
210	5	7	3	8	75
211	3	8	4	8	75
212	8	4	4	8	75
213	4	4	5	8	75
214	8	1	5	8	75
215	4	9	5	8	75
216	1	6	6	8	75
217	6	10	6	8	75
218	7	10	6	8	75
219	7	7	6	8	75
